names,authors,descrips,paragraphs
ImmediatelyFast,RaphiMC,"Client, Optimization, Fabric, Forge, Quilt",Speed up immediate mode rendering in Minecraft
YetAnotherConfigLib,isxander,"Client, Library, Management, Utility, Fabric, Forge, NeoForge, Quilt",A builder-based configuration library for Minecraft.
AppleSkin,squeek502,"Client, Food, Utility, Fabric, Forge, NeoForge, Quilt",Food/hunger-related HUD improvements
Krypton,astei,"Client or server, Optimization, Utility, Fabric",A mod to optimize the Minecraft networking stack
Not Enough Animations,tr7zw,"Client, Adventure, Decoration, Fabric, Forge",Bringing first-person animations to the third-person
Cobblemon,Cobblemon,"Client and server, Adventure, Mobs, World Generation, Fabric, Forge",A PokŽmon mod for Fabric and Forge
BetterF3,TreyRuffy,"Client, Utility, Fabric, Forge, Quilt","BetterF3 is a mod that replaces Minecraft's original debug HUD with a highly customizable, more human-readable HUD."
No Chat Reports,Aizistral,"Client or server, Social, Utility, Fabric, Forge, Quilt",Makes chat unreportable (where possible)
[ETF] Entity Texture Features,Traben,"Client, Decoration, Utility, Fabric, Forge, NeoForge, Quilt","Emissive, Random & Custom texture support for entities in resourcepacks just like Optifine but for Fabric"
3D Skin Layers,tr7zw,"Client, Adventure, Decoration, Fabric, Forge, Quilt",Render the player skin layer in 3d!
More Culling,FX,"Client, Library, Optimization, Utility, Fabric, Quilt",A mod that changes how multiple types of culling are handled in order to improve performance
Zoomify,isxander,"Client, Utility, Fabric, Quilt",A zoom mod with infinite customizability.
Xaero's Minimap,thexaero,"Client, Adventure, Transportation, Utility, Fabric, Forge, NeoForge, Quilt","Displays a map of the nearby world terrain, players, mobs, entities in the corner of your screen. Lets you create waypoints which help you find the locations you've marked."
Borderless Mining,comp500,"Client, Utility, Fabric, Forge, Quilt",Changes Fullscreen to use a borderless window.
Craftify,ThatGravyBoat,"Client, Management, Utility, Fabric, Forge",Allows for you to control and display your music in-game!
Concurrent Chunk Management Engine (Fabric),ishland,"Client or server, Optimization, Fabric",A Fabric mod designed to improve the chunk performance of Minecraft.
Enhanced Block Entities,FoundationGames,"Client, Optimization, Utility, Fabric, Quilt","Reduce FPS lag with block entities, as well as customize them with resource packs"
CIT Resewn,shsupercm,"Client, Utility, Fabric",Re-implements MCPatcher's CIT (custom item textures from optifine resource packs)
Presence Footsteps,Sollace,"Client, Decoration, Fabric, Quilt",..An Overly complicated Sound Mod...
Inventory Profiles Next,blackd,"Client, Storage, Utility, Fabric, Forge, NeoForge, Quilt",Take control over you inventory. Sort. Move matching Items. Throw all. Locked slots. Gear sets! And much more.
Debugify,isxander,"Client or server, Optimization, Utility, Fabric, Forge, Quilt",Fixes Minecraft bugs found on the bug tracker
Xaero's World Map,thexaero,"Client, Adventure, Transportation, Utility, Fabric, Forge, NeoForge, Quilt",Adds a full screen world map which shows you what you have explored in the world. Works great together with Xaero's Minimap.
Fastload,StockiesLad,"Client or server, Optimization, World Generation, Fabric, Forge, Quilt",Modifies how worlds are loaded to speed up loading times.
Capes,caelthecolher,"Client, Utility, Fabric, Forge","Lets you use capes from OptiFine, LabyMod and other cape mods"
AdvancementInfo,Giselbaer,"Client, Utility, Fabric",Show more information about advancement requirements
Collective,Serilum,"Client or server, Library, Fabric, Forge, NeoForge, Quilt",?? Collective is a shared library with common code for all of Serilum's mods.
Language Reload,Jerozgen,"Client, Optimization, Utility, Fabric, Quilt",Reduces load times and adds fallbacks for languages
Roughly Enough Items (REI),shedaniel,"Client, Fabric, Forge, NeoForge, Rift",Clean and Customizable. Alternative to Just Enough Items/JEI.
Forge Config API Port,Fuzs,"Client and server, Library, Fabric, Quilt",Forge's whole config system provided to the Fabric ecosystem. Designed for a multiloader architecture.
Smooth Boot (Fabric),UltimateBoomer,"Client or server, Optimization, Utility, Fabric, Quilt",Improve Minecraft CPU scheduling
Physics Mod,haubna,"Client, Decoration, Utility, Fabric, Forge, NeoForge, Quilt",Welcome to a more destructive Minecraft than you've ever seen before!
Falling Leaves,randommcsomethin,"Client, Decoration, Fabric",Adds a neat little particle effect to leaf blocks
FabricSkyboxes,AMereBagatelle,"Client, Utility, Fabric, Quilt",Allows resource packs to define custom skyboxes.
[EMF] Entity Model Features,Traben,"Client, Mobs, Utility, Fabric, Forge, NeoForge, Quilt","EMF is an, OptiFine format, Custom Entity Model replacement mod available for Fabric and Forge."
AntiGhost,Giselbaer,"Client, Utility, Fabric, Forge",Get rid of ghost blocks by requesting resends from the server
Just Enough Items,mezz,"Client, Library, Utility, Fabric, Forge",JEI - View Items and Recipes
Animatica,FoundationGames,"Client, Decoration, Utility, Fabric, Quilt",A mod implementing the OptiFine/MCPatcher animated texture format
Your Options Shall Be Respected (YOSBR),shedaniel,"Client and server, Utility, Fabric, Quilt",Your options shall be respected.
libIPN,blackd,"Client, Library, Fabric, Forge, NeoForge, Quilt",Inventory Profiles Next GUI/Config library
ModernFix,embeddedt,"Client or server, Optimization, Utility, Fabric, Forge, NeoForge","All-in-one mod that improves performance, reduces memory usage, and fixes many bugs. Compatible with all your favorite performance mods!"
Shulker Box Tooltip,MisterPeModder,"Client, Storage, Utility, Fabric, Forge",View the contents of shulker boxes from your inventory
OptiGUI,opekope2,"Client, Decoration, Utility, Fabric, Quilt",Custom inventory GUIs on Fabric&Quilt with OptiFine resource pack support&many more features
Balm,BlayTheNinth,"Client and server, Library, Fabric, Forge",Abstraction Layer (but not really)ª for Blay's multiplatform mods
Better Mount HUD,Lortseam,"Client, Utility, Fabric",Improves the ingame HUD while riding a mount
Geckolib,Gecko,"Client and server, Game Mechanics, Utility, Fabric, Forge, NeoForge, Quilt","A 3D animation library for entities, blocks, items, armor, and more!"
JourneyMap,mysticdrew,"Client or server, Adventure, Utility, Fabric, Forge, NeoForge, Quilt",Real-time mapping in game or in a web browser as you explore.
Fabrishot,ramidzkh,"Client, Utility, Fabric",Take insanely large screenshots because why not
Sound Physics Remastered,henkelmax,"Client, Adventure, Utility, Fabric, Forge, NeoForge, Quilt","A Minecraft mod that provides realistic sound attenuation, reverberation, and absorption through blocks."
More Chat History,JackFred2,"Client, Social, Utility, Fabric, Quilt",Increases the maximum length of chat history.
Visuality,PinkGoosik,"Client, Decoration, Fabric, Quilt",Little visual improvements by adding a bunch of new particles.
Wavey Capes,tr7zw,"Client, Decoration, Fabric, Forge, Quilt",The cape shouldn't be a static slab
Puzzles Lib,Fuzs,"Client and server, Library, Fabric, Forge",Why's it called Puzzles you ask? That's the puzzle!
FabricSkyBoxes Interop,FlashyReese,"Client, Utility, Fabric",FabricSkyBoxes Interoperability for MCPatcher/OptiFine Skies
MixinTrace,comp500,"Client or server, Fabric, Quilt",Adds a list of mixins in the stack trace to crash reports
Puzzle,Motschen,"Client, Library, Utility, Fabric, Quilt",Adds resourcepack features and a GUI to more conveniently configure OptiFine alternatives.
FallingTree,Rakambda,"Server, Utility, Fabric, Forge",Break down your trees by only cutting one piece of it
Model Gap Fix,MehVahdJukaar,"Client, Optimization, Utility, Fabric, Forge, Quilt",Fixes gaps in Block Models and Item Models
Iceberg,Grend,"Client, Library, Fabric, Forge, NeoForge","A modding library that contains new events, helpers, and utilities to make modder's lives easier."
FancyMenu,keksuccino,"Client, Utility, Fabric, Forge","Minecraft menus, but much more fancy! Customize menu screens with animations, buttons, texts, images and more!"
Konkrete,keksuccino,"Client or server, Library, Fabric, Forge",Just another boring library mod.
Cull Less Leaves,isxander,"Client, Optimization, Fabric, Quilt",Cull leaves while looking hot!
Mouse Tweaks,YaLTeR,"Client, Storage, Utility, Fabric, Forge, Risugami's ModLoader",Enhances inventory management by adding various functions to the mouse buttons.
MidnightLib,Motschen,"Client or server, Library, Utility, Fabric, Forge, Quilt",Common library with a built-in configuration system
Kotlin for Forge,thedarkcolour,"Client or server, Library, Forge, NeoForge",Adds a Kotlin language loader and provides some optional utilities.
Very Many Players (Fabric),ishland,"Client or server, Optimization, Fabric",A Fabric mod designed to improve server performance at high playercounts.
Create Fabric,tropheusj,"Client and server, Decoration, Equipment, Technology, Fabric, Quilt",Building Tools and Aesthetic Technology
ESSENTIAL Mod,SparkUniverse,"Client, Social, Utility, Fabric, Forge",Boost your Minecraft. Play together without a server. Customize your character. And more.
MidnightControls,Motschen,"Client, Utility, Fabric, Quilt",Adds controller support and enhanced controls overall.
o?o (owo-lib),glisco,"Client or server, Library, Fabric, Quilt","A general utility, GUI and config library for modding on Fabric and Quilt"
CreativeCore,creativemd,"Client, Library, Fabric, Forge, NeoForge",A core mod
Eating Animation,theoness1,"Client, Food, Fabric",A mod that adds sprite animations for edible and drinkable items.
Main Menu Credits,isxander,"Client, Library, Utility, Fabric, Quilt",Adds a way of adding information to the user's title screen.
DashLoader,alphaqu,"Client, Library, Optimization, Utility, Fabric, Quilt",Launch at the speed of light.
Jade ??,Snownee,"Client or server, Utility, Fabric, Forge, NeoForge, Quilt",Shows information about what you are looking at. (Hwyla/Waila fork for Minecraft 1.16+)
FastQuit,KingContaria,"Client, Optimization, Utility, Fabric, Quilt",Lets you return to the Title Screen early while your world is still saving in the background!
AmbientSounds,creativemd,"Client, Decoration, Fabric, Forge, NeoForge",#listentonature
CraftPresence,CDAGaming,"Client, Library, Utility, Fabric, Forge, Risugami's ModLoader, NeoForge, Quilt",Completely Customize the way others see you play in Discord!
Dynamic Crosshair,Crendgrim,"Client, Fabric, Forge, NeoForge",A mod that hides or changes the crosshair dependent on context
Better Statistics Screen,TheCSDev,"Client, Utility, Fabric, Forge",A Minecraft mod that improves the statistics screen and makes it more useful.
Reward Claim,ThatGravyBoat,"Client, Management, Utility, Forge",Hypixel reward claim in-game.
Phosphor,jellysquid3,"Client or server, Optimization, Utility, Fabric",No-compromises lighting engine optimization mod
Better Beds,Motschen,"Client, Decoration, Optimization, Utility, Fabric, Quilt",Changes the renderer of the bed to use json models instead of a block entity renderer!
Better Ping Display [Fabric],vladmarica,"Client, Utility, Fabric",Adds a configurable numerical ping display to the player list
Patchouli,Vazkii,"Client and server, Library, Utility, Fabric, Forge, Quilt","Accessible, Data-Driven, Dependency-Free Documentation for Minecraft Modders and Pack Makers"
Chat Heads,dzwdz,"Client, Decoration, Social, Fabric, Forge, NeoForge",See who you're chatting with!
Bobby,Johni0702,"Client, Fabric",Allows for render distances greater than the server's view-distance
Traveler's Backpack,Tiviacz1337,"Client and server, Adventure, Equipment, Storage, Fabric, Forge",The official port of Adventure Backpack
ReplayMod,Johni0702,"Client, Utility, Fabric, Forge","A Minecraft Mod to record, relive and share your experience."
Quilted Fabric API (QFAPI) / Quilt Standard Libraries (QSL),Quilt-Holdings,"Client or server, Library, Quilt",The standard libraries of the Quilt ecosystem. Essential for your modding experience on Quilt!
Not Enough Crashes,natanfudge,"Client or server, Utility, Fabric, Forge, Quilt","When crashing, you can go back to the title screen and keep playing, without needing to restart, alongside other things to make crashes more pleasant."
Blur (Fabric),Motschen,"Client, Decoration, Fabric, Quilt",Adds a blur effect to all GUI backgrounds - now for Fabric (and Quilt)!
WTHIT,deirn,"Client or server, Library, Utility, Fabric, Forge, NeoForge, Quilt",What the hell is that?
Moonlight Lib,MehVahdJukaar,"Client and server, Library, Fabric, Forge","dynamic data pack and registration, villager activities, custom map marker and a lot more"
bad packets,deirn,"Client or server, Library, Fabric, Forge, NeoForge, Quilt",Bad Packets allows packet messaging between different modding platforms.
Supplementaries,MehVahdJukaar,"Client and server, Decoration, Game Mechanics, Utility, Fabric, Forge","Vanilla+ additions: Jars, signposts, faucets, weather vanes spring launchers, sconces, planters, lights, decoration and automation"
Charmonium,svenhjol,"Client, Decoration, Fabric, Quilt",Ambient and environmental sounds in keeping with vanilla Minecraft
Drip Sounds (Fabric),PieKing1215,"Client, Decoration, Fabric",Adds sounds for drip particles landing
Better Biome Blend,FionaTheMortal,"Client, Optimization, Fabric, Forge",Improves biome colors
Clumps,jaredlll08,"Client and server, Storage, Utility, Fabric, Forge",Clumps XP orbs together to reduce lag
Plasmo Voice,kpids,"Client or server, Adventure, Social, Utility, Bukkit, BungeeCord, Fabric, Folia, Forge, Paper, Purpur, Spigot, Velocity",A proximity voice chat mod with audio positioning and lots of features
Trinkets,Emi,"Client and server, Equipment, Library, Utility, Fabric, Quilt",A data-driven accessory mod
Bookshelf,Darkhax,"Client and server, Library, Utility, Fabric, Forge, NeoForge, Quilt",An open source library for other mods!
Boat Item View,50ap5ud5,"Client, Adventure, Decoration, Utility, Fabric, Forge",See your held items when in a moving boat!
Exordium,tr7zw,"Client, Optimization, Fabric, Forge",Render the GUI and screens at a lower framerate to speed up what's really important: the worldrendering.
playerAnimator,KosmX,"Client, Library, Fabric, Forge, Quilt",animate the player
e4mc,vgskye,"Server, Social, Utility, Fabric, Forge, NeoForge, Quilt","Open a LAN server to anyone, anywhere, anytime."
Custom Entity Models,dorianpb,"Client, Library, Utility, Fabric",Custom Entity Models suport on Fabric
YUNG's API,YUNGNICKYOUNG,"Server, Library, World Generation, Fabric, Forge",Library mod for YUNG's mods.
EMI,Emi,"Client, Library, Utility, Fabric, Forge, Quilt",A featureful and accessible item and recipe viewer
ToolTipFix,kyrptonaught,"Client, Optimization, Utility, Fabric",Fixes Tooltips from runnning off the screen.
